Complaint_Text,Category,Urgency,Date_Submitted
It is Ambulance took too long to arrive at Main Block.,Health,High,2026-02-15
Doctor was not available at the clinic near Lab 3.,Health,Medium,2026-01-26
Librarian was unhelpful today.,Library,Medium,2026-01-01
This is Floodlights at the football ground are not working.,Sports,Low,2026-02-09
This is No basic medicines available in the dispensary. bad,Health,High,2026-03-28
No security guard present at the back gate.,Security,High,2026-01-30
This is Not enough elective courses offered this semester.,Academic,Medium,2026-03-24
Library closes too early during exam week.,Library,Medium,2026-03-15
It is Not enough basketballs available. urgent,Sports,Medium,2026-02-03
Software licenses expired on lab machines in Hostel A.,IT,High,2026-02-16
Menu is repetitive and lacks nutrition.,Mess,Medium,2026-04-06
No vegetarian options available in the mess today. needs fixing,Mess,Medium,2026-04-10
This is Need better first aid kits in the Library Section.,Health,Medium,2026-01-26
Timetable is poorly managed with no breaks. very annoying,Academic,High,2026-02-06
I am facing an issue where Medical room is closed during night hours near Building C.,Health,High,2026-03-31
No vegetarian options available in the mess today.,Mess,High,2026-01-25
No basic medicines available in the dispensary. needs fixing,Health,High,2026-01-25
LAN cable missing in the Hostel B.,IT,Medium,2026-01-19
Need more books on Machine Learning in the library.,Library,Medium,2026-01-13
This is Chairs are uncomfortable in the reading room.,Library,Low,2026-02-10
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-01-14
It is Not enough quiet study spaces.,Library,Medium,2026-04-14
I am facing an issue where CCTV cameras are not functional in Hostel A.,Security,Medium,2026-01-06
Sports ground is too muddy to play. urgent,Sports,Medium,2026-01-15
Online journal access is revoked. bad,Library,Medium,2026-04-18
Parking lot lights are out.,Security,High,2026-03-25
I am facing an issue where Campus security personnel are rude to students.,Security,High,2026-02-27
Need more books on Machine Learning in the library.,Library,Medium,2026-02-12
Washrooms lack basic hygiene supplies in Hostel B. terrible,Maintenance,High,2026-03-21
Menu is repetitive and lacks nutrition.,Mess,Medium,2026-03-22
It is Library closes too early during exam week.,Library,Medium,2026-01-23
Water cooler on the Lab 3 is broken.,Maintenance,High,2026-02-07
It is Medical room is closed during night hours near Lab 3. terrible,Health,Medium,2026-04-01
I am facing an issue where Lights are constantly flickering in Library Section.,Maintenance,Medium,2026-01-28
Bicycles are being stolen from the parking lot. needs fixing,Security,High,2026-01-24
Food is served cold during dinner time.,Mess,Medium,2026-01-28
I am facing an issue where Sports ground is too muddy to play.,Sports,Medium,2026-01-28
It is Indoor stadium is kept locked on weekends. bad,Sports,Medium,2026-04-15
Food is served cold during dinner time. bad,Mess,Low,2026-03-31
I am facing an issue where Computers in the 3rd floor lab are not working.,IT,High,2026-01-22
No vegetarian options available in the mess today.,Mess,Medium,2026-01-01
Water cooler on the Main Block is broken.,Maintenance,High,2026-04-03
No basic medicines available in the dispensary.,Health,High,2026-03-08
Professor missed the scheduled lecture without notice.,Academic,High,2026-01-20
I am facing an issue where Projector in Hostel B is not turning on.,IT,Low,2026-02-14
It is Not enough elective courses offered this semester. needs fixing,Academic,Medium,2026-02-06
Ambulance took too long to arrive at Lab 3. needs fixing,Health,High,2026-03-27
Indoor stadium is kept locked on weekends.,Sports,Medium,2026-03-03
Library closes too early during exam week.,Library,Medium,2026-01-23
I am facing an issue where Library closes too early during exam week.,Library,Low,2026-04-13
I am facing an issue where Water supply in mess area was disrupted. urgent,Mess,Low,2026-03-16
It is Elevator in Main Block is stuck frequently.,Maintenance,High,2026-01-01
Wi-Fi keeps disconnecting in Library Section.,IT,High,2026-02-23
Indoor stadium is kept locked on weekends. bad,Sports,Medium,2026-03-17
Printers not working in the Lab 3.,IT,High,2026-04-18
Medical room is closed during night hours near Room 402.,Health,High,2026-04-09
Water supply in mess area was disrupted.,Mess,Medium,2026-03-24
Outsiders entering the campus without checking. very annoying,Security,Medium,2026-01-15
It is Water supply in mess area was disrupted.,Mess,Medium,2026-02-03
Window pane is broken in Room 402. frustrating,Maintenance,Medium,2026-01-26
Ambulance took too long to arrive at Hostel B.,Health,High,2026-03-29
Professor missed the scheduled lecture without notice.,Academic,Low,2026-03-07
It is Hostel AC is not cooling in Room 402. Please fix ASAP.,Maintenance,Low,2026-04-12
Indoor stadium is kept locked on weekends.,Sports,Low,2026-04-07
I am facing an issue where Floodlights at the football ground are not working. needs fixing,Sports,Medium,2026-02-19
No basic medicines available in the dispensary.,Health,Medium,2026-01-04
Course curriculum needs updating for industry standards. terrible,Academic,Medium,2026-03-14
I am facing an issue where Library closes too early during exam week. needs fixing,Library,Medium,2026-04-06
Washrooms lack basic hygiene supplies in Hostel B.,Maintenance,Medium,2026-04-18
I am facing an issue where Outsiders entering the campus without checking.,Security,High,2026-02-04
Water supply in mess area was disrupted. bad,Mess,Medium,2026-02-25
This is Cutlery is frequently dirty.,Mess,Low,2026-02-04
LAN cable missing in the Hostel A.,IT,High,2026-01-09
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-01-27
Washrooms lack basic hygiene supplies in Hostel B.,Maintenance,Medium,2026-01-13
I am facing an issue where Ambulance took too long to arrive at 3rd floor.,Health,High,2026-02-27
Hygiene issues at the clinic close to Room 402.,Health,High,2026-04-06
I am facing an issue where Need more books on Machine Learning in the library.,Library,Low,2026-01-09
This is Gym equipment requires maintenance. frustrating,Sports,Low,2026-01-16
Chairs are uncomfortable in the reading room.,Library,Low,2026-04-05
I am facing an issue where Bicycles are being stolen from the parking lot. urgent,Security,High,2026-01-18
It is Water supply in mess area was disrupted. urgent,Mess,Low,2026-02-15
I am facing an issue where Parking lot lights are out.,Security,High,2026-03-03
Gym equipment requires maintenance.,Sports,Medium,2026-03-09
This is Window pane is broken in Lab 3.,Maintenance,High,2026-01-13
Timetable is poorly managed with no breaks. bad,Academic,Medium,2026-01-27
This is Not enough quiet study spaces. terrible,Library,Medium,2026-03-30
It is Wi-Fi keeps disconnecting in Hostel B.,IT,Medium,2026-01-11
Assignments are graded unfairly.,Academic,Medium,2026-04-19
It is Projector in Main Block is not turning on.,IT,Low,2026-02-24
Librarian was unhelpful today. very annoying,Library,Medium,2026-01-12
Chairs are uncomfortable in the reading room. urgent,Library,Medium,2026-02-13
Projector in Room 402 is not turning on.,IT,Medium,2026-01-24
I am facing an issue where Librarian was unhelpful today.,Library,Medium,2026-03-26
I am facing an issue where CCTV cameras are not functional in Hostel B.,Security,High,2026-03-19
Elevator in Lab 3 is stuck frequently.,Maintenance,High,2026-03-09
Fan is making weird noises in Hostel A.,Maintenance,High,2026-02-15
Gym equipment requires maintenance.,Sports,Medium,2026-02-08
Window pane is broken in Main Block. frustrating,Maintenance,Low,2026-04-06
Need more books on Machine Learning in the library. needs fixing,Library,Low,2026-01-23
I am facing an issue where Timetable is poorly managed with no breaks.,Academic,High,2026-03-23
Not enough elective courses offered this semester.,Academic,Low,2026-04-01
No vegetarian options available in the mess today. very annoying,Mess,Low,2026-01-05
I am facing an issue where Library closes too early during exam week. terrible,Library,Low,2026-02-28
It is Water cooler on the 3rd floor is broken.,Maintenance,High,2026-02-02
Assignments are graded unfairly.,Academic,High,2026-02-28
I am facing an issue where Software licenses expired on lab machines in Lab 3.,IT,Medium,2026-02-26
No vegetarian options available in the mess today.,Mess,High,2026-01-05
This is Hygiene issues at the clinic close to Hostel A.,Health,High,2026-03-29
Bicycles are being stolen from the parking lot.,Security,High,2026-01-14
It is Professor missed the scheduled lecture without notice.,Academic,High,2026-03-20
CCTV cameras are not functional in Building C. bad,Security,High,2026-04-15
Hygiene issues at the clinic close to Hostel B. urgent,Health,High,2026-02-10
Bicycles are being stolen from the parking lot.,Security,High,2026-04-12
Cutlery is frequently dirty.,Mess,Medium,2026-02-16
Not enough quiet study spaces. needs fixing,Library,Medium,2026-02-11
Online journal access is revoked.,Library,Medium,2026-01-21
This is Sports ground is too muddy to play.,Sports,Medium,2026-02-01
There is a water leak in the Library Section.,Maintenance,High,2026-01-17
I am facing an issue where Chairs are uncomfortable in the reading room.,Library,Medium,2026-02-18
I am facing an issue where Timetable is poorly managed with no breaks. needs fixing,Academic,Medium,2026-01-21
Outsiders entering the campus without checking.,Security,High,2026-03-13
This is Library closes too early during exam week. terrible,Library,Medium,2026-04-10
Not enough elective courses offered this semester. very annoying,Academic,Low,2026-01-08
This is Professor missed the scheduled lecture without notice.,Academic,Medium,2026-02-08
Not enough basketballs available.,Sports,Medium,2026-04-02
It is Floodlights at the football ground are not working.,Sports,Low,2026-03-06
Cafeteria food gave several students food poisoning.,Mess,High,2026-03-17
I am facing an issue where There is a water leak in the Lab 3.,Maintenance,Medium,2026-03-31
This is Need more books on Machine Learning in the library.,Library,Low,2026-01-15
I am facing an issue where Computers in the Hostel B lab are not working.,IT,High,2026-02-21
There is a water leak in the Main Block.,Maintenance,High,2026-03-25
Course curriculum needs updating for industry standards. urgent,Academic,High,2026-04-11
Food is served cold during dinner time. needs fixing,Mess,Low,2026-01-07
I am facing an issue where Parking lot lights are out.,Security,High,2026-02-15
The internet in the Lab 3 is too slow for studying. needs fixing,IT,High,2026-02-04
Doctor was not available at the clinic near Hostel A.,Health,Medium,2026-03-27
Cutlery is frequently dirty.,Mess,High,2026-03-23
Hygiene issues at the clinic close to Lab 3. needs fixing,Health,Medium,2026-03-19
Water supply in mess area was disrupted.,Mess,Low,2026-01-06
Professor missed the scheduled lecture without notice. frustrating,Academic,High,2026-01-27
I am facing an issue where Parking lot lights are out. urgent,Security,High,2026-02-24
It is Projector in Building C is not turning on.,IT,Low,2026-01-09
It is Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-03-02
Course curriculum needs updating for industry standards. bad,Academic,Medium,2026-04-10
This is CCTV cameras are not functional in Room 402. bad,Security,Medium,2026-02-19
I am facing an issue where Timetable is poorly managed with no breaks.,Academic,High,2026-02-15
Window pane is broken in Library Section. needs fixing,Maintenance,High,2026-02-21
Course curriculum needs updating for industry standards.,Academic,High,2026-01-22
I am facing an issue where Gym equipment requires maintenance.,Sports,Medium,2026-02-28
Exam schedule is clashing with placement drives. frustrating,Academic,Medium,2026-01-18
Professor missed the scheduled lecture without notice. frustrating,Academic,Medium,2026-04-04
Hostel AC is not cooling in Lab 3. Please fix ASAP.,Maintenance,High,2026-02-10
I am facing an issue where Hostel AC is not cooling in 3rd floor. Please fix ASAP. very annoying,Maintenance,High,2026-02-13
Timetable is poorly managed with no breaks. bad,Academic,High,2026-04-19
Chairs are uncomfortable in the reading room.,Library,Medium,2026-02-26
It is Ambulance took too long to arrive at 3rd floor. bad,Health,High,2026-03-26
The internet in the Building C is too slow for studying.,IT,Medium,2026-04-01
Assignments are graded unfairly.,Academic,Medium,2026-01-13
Wi-Fi keeps disconnecting in 3rd floor. urgent,IT,High,2026-01-03
The internet in the Lab 3 is too slow for studying.,IT,Medium,2026-02-23
Assignments are graded unfairly.,Academic,Medium,2026-02-17
Cutlery is frequently dirty. frustrating,Mess,Medium,2026-03-30
I am facing an issue where LAN cable missing in the Room 402.,IT,High,2026-01-30
This is Assignments are graded unfairly. bad,Academic,High,2026-01-03
Projector in Room 402 is not turning on. needs fixing,IT,High,2026-01-23
Water cooler on the Room 402 is broken. bad,Maintenance,Medium,2026-04-19
Hostel AC is not cooling in Library Section. Please fix ASAP. bad,Maintenance,Low,2026-01-25
Unable to access the student portal from Room 402.,IT,High,2026-03-27
It is Medical room is closed during night hours near Lab 3.,Health,Medium,2026-03-04
Lights are constantly flickering in 3rd floor.,Maintenance,Medium,2026-03-04
I am facing an issue where Cutlery is frequently dirty.,Mess,High,2026-04-04
No security guard present at the back gate.,Security,Medium,2026-01-14
Computers in the Lab 3 lab are not working.,IT,Medium,2026-02-05
Medical room is closed during night hours near Building C.,Health,High,2026-02-18
Cricket pitch needs to be rolled and cleaned. bad,Sports,Low,2026-02-04
Fan is making weird noises in Hostel A.,Maintenance,Low,2026-04-13
It is No vegetarian options available in the mess today.,Mess,Low,2026-03-25
Not enough quiet study spaces.,Library,Medium,2026-01-20
Campus security personnel are rude to students. frustrating,Security,Medium,2026-01-17
I am facing an issue where No vegetarian options available in the mess today.,Mess,High,2026-02-16
Bicycles are being stolen from the parking lot.,Security,High,2026-01-14
Outsiders entering the campus without checking. terrible,Security,High,2026-04-06
There is a water leak in the Building C. needs fixing,Maintenance,Medium,2026-02-10
This is Not enough elective courses offered this semester. terrible,Academic,Low,2026-02-08
This is Fan is making weird noises in Library Section.,Maintenance,Medium,2026-03-20
It is LAN cable missing in the Main Block.,IT,Low,2026-03-10
Doctor was not available at the clinic near Hostel A. urgent,Health,High,2026-01-29
It is Need more books on Machine Learning in the library.,Library,Medium,2026-03-06
I am facing an issue where Software licenses expired on lab machines in Hostel B. bad,IT,Medium,2026-04-07
Ambulance took too long to arrive at Hostel B.,Health,High,2026-01-12
I am facing an issue where Library closes too early during exam week.,Library,Low,2026-03-15
It is Library closes too early during exam week.,Library,Low,2026-02-10
Printers not working in the Hostel A.,IT,High,2026-02-01
Indoor stadium is kept locked on weekends. very annoying,Sports,Medium,2026-04-05
Elevator in Lab 3 is stuck frequently.,Maintenance,Low,2026-04-02
Software licenses expired on lab machines in Main Block.,IT,High,2026-03-23
Professor missed the scheduled lecture without notice. terrible,Academic,Medium,2026-02-10
CCTV cameras are not functional in Building C. terrible,Security,High,2026-02-13
Not enough basketballs available.,Sports,Low,2026-02-28
Librarian was unhelpful today.,Library,Medium,2026-02-11
I am facing an issue where No basic medicines available in the dispensary.,Health,High,2026-03-21
Library closes too early during exam week. frustrating,Library,Low,2026-03-06
Professor missed the scheduled lecture without notice. bad,Academic,Medium,2026-04-01
Not enough basketballs available.,Sports,Medium,2026-01-28
This is Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-03-10
I am facing an issue where Course curriculum needs updating for industry standards.,Academic,Medium,2026-04-18
Food is served cold during dinner time.,Mess,Medium,2026-04-07
Not enough quiet study spaces.,Library,Low,2026-02-13
This is Need better first aid kits in the Hostel B. very annoying,Health,High,2026-03-29
Hostel AC is not cooling in Hostel A. Please fix ASAP.,Maintenance,Low,2026-04-14
It is Not enough elective courses offered this semester.,Academic,Medium,2026-04-02
This is Assignments are graded unfairly. frustrating,Academic,High,2026-02-09
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-03-15
Not enough basketballs available.,Sports,Low,2026-03-01
Window pane is broken in Hostel B.,Maintenance,Medium,2026-01-04
Library closes too early during exam week.,Library,Medium,2026-02-14
Sports ground is too muddy to play.,Sports,Low,2026-03-29
I am facing an issue where CCTV cameras are not functional in Library Section. terrible,Security,High,2026-01-25
It is CCTV cameras are not functional in Lab 3. urgent,Security,Medium,2026-01-19
Menu is repetitive and lacks nutrition. urgent,Mess,Medium,2026-04-08
It is Water supply in mess area was disrupted.,Mess,Medium,2026-03-28
It is Need more books on Machine Learning in the library. bad,Library,Medium,2026-04-05
This is Library closes too early during exam week.,Library,Medium,2026-04-08
I am facing an issue where Hostel AC is not cooling in 3rd floor. Please fix ASAP.,Maintenance,High,2026-01-22
Doctor was not available at the clinic near 3rd floor. frustrating,Health,High,2026-03-21
Ambulance took too long to arrive at Building C.,Health,High,2026-02-16
This is Menu is repetitive and lacks nutrition.,Mess,Medium,2026-01-17
Fan is making weird noises in Building C.,Maintenance,Low,2026-01-11
No basic medicines available in the dispensary.,Health,High,2026-04-10
Medical room is closed during night hours near 3rd floor.,Health,Medium,2026-01-11
Printers not working in the Hostel A. bad,IT,Low,2026-03-04
I am facing an issue where Medical room is closed during night hours near Library Section.,Health,Medium,2026-01-30
Parking lot lights are out.,Security,High,2026-03-07
It is Online journal access is revoked.,Library,Medium,2026-02-14
Timetable is poorly managed with no breaks.,Academic,Low,2026-01-05
Water supply in mess area was disrupted.,Mess,High,2026-03-03
It is Bicycles are being stolen from the parking lot.,Security,High,2026-02-19
Hostel AC is not cooling in Library Section. Please fix ASAP. needs fixing,Maintenance,Medium,2026-01-07
Need better first aid kits in the Library Section.,Health,High,2026-04-18
This is Course curriculum needs updating for industry standards.,Academic,High,2026-01-12
No security guard present at the back gate.,Security,Medium,2026-04-02
Campus security personnel are rude to students.,Security,High,2026-02-14
No vegetarian options available in the mess today.,Mess,High,2026-03-17
I am facing an issue where Food is served cold during dinner time. frustrating,Mess,Medium,2026-03-08
No vegetarian options available in the mess today.,Mess,Medium,2026-01-21
Hostel AC is not cooling in Building C. Please fix ASAP. needs fixing,Maintenance,High,2026-02-22
Fan is making weird noises in Building C.,Maintenance,Medium,2026-04-19
It is Not enough basketballs available.,Sports,Low,2026-01-16
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-03-01
Menu is repetitive and lacks nutrition.,Mess,Medium,2026-04-19
CCTV cameras are not functional in Lab 3. urgent,Security,High,2026-03-28
Library closes too early during exam week. terrible,Library,Medium,2026-03-10
It is Floodlights at the football ground are not working.,Sports,Medium,2026-03-22
Chairs are uncomfortable in the reading room.,Library,Low,2026-04-15
Fan is making weird noises in Building C.,Maintenance,Medium,2026-03-31
There is a water leak in the Hostel B. urgent,Maintenance,Medium,2026-03-25
Cutlery is frequently dirty. bad,Mess,Medium,2026-03-01
Professor missed the scheduled lecture without notice.,Academic,Medium,2026-02-05
No security guard present at the back gate. very annoying,Security,High,2026-04-07
I am facing an issue where Need better first aid kits in the Room 402.,Health,High,2026-03-11
Need more books on Machine Learning in the library.,Library,Medium,2026-03-11
Food is served cold during dinner time. frustrating,Mess,Low,2026-04-13
This is Not enough quiet study spaces. terrible,Library,Medium,2026-03-31
It is Need better first aid kits in the Lab 3.,Health,High,2026-02-28
CCTV cameras are not functional in Hostel A.,Security,High,2026-01-28
I am facing an issue where Chairs are uncomfortable in the reading room. terrible,Library,Low,2026-02-14
Medical room is closed during night hours near 3rd floor. frustrating,Health,Medium,2026-02-11
It is Not enough basketballs available.,Sports,Medium,2026-02-01
Professor missed the scheduled lecture without notice.,Academic,High,2026-04-15
I am facing an issue where Timetable is poorly managed with no breaks.,Academic,Low,2026-03-11
This is Chairs are uncomfortable in the reading room.,Library,Medium,2026-02-15
Menu is repetitive and lacks nutrition.,Mess,High,2026-01-26
This is Unable to access the student portal from Lab 3.,IT,Medium,2026-03-25
Ambulance took too long to arrive at Room 402.,Health,Medium,2026-02-22
Floodlights at the football ground are not working.,Sports,Medium,2026-03-27
It is Sports ground is too muddy to play.,Sports,Medium,2026-02-04
Library closes too early during exam week.,Library,Medium,2026-02-10
Cutlery is frequently dirty.,Mess,High,2026-01-26
Fan is making weird noises in Main Block.,Maintenance,High,2026-01-10
Need better first aid kits in the Building C.,Health,High,2026-04-11
Washrooms lack basic hygiene supplies in Main Block.,Maintenance,Medium,2026-01-03
Campus security personnel are rude to students.,Security,Medium,2026-03-23
I am facing an issue where Professor missed the scheduled lecture without notice.,Academic,High,2026-04-15
CCTV cameras are not functional in Building C.,Security,High,2026-04-11
I am facing an issue where Cafeteria food gave several students food poisoning. terrible,Mess,High,2026-03-31
This is Hygiene issues at the clinic close to 3rd floor.,Health,High,2026-02-21
Chairs are uncomfortable in the reading room.,Library,Low,2026-02-02
This is Online journal access is revoked.,Library,Medium,2026-01-13
I am facing an issue where Lights are constantly flickering in Hostel B. frustrating,Maintenance,Low,2026-01-10
Indoor stadium is kept locked on weekends.,Sports,Medium,2026-02-06
Water supply in mess area was disrupted.,Mess,Low,2026-03-08
Outsiders entering the campus without checking.,Security,High,2026-02-05
I am facing an issue where Not enough basketballs available.,Sports,Medium,2026-01-14
It is Not enough quiet study spaces. frustrating,Library,Medium,2026-03-22
It is Chairs are uncomfortable in the reading room.,Library,Medium,2026-03-11
I am facing an issue where There is a water leak in the Library Section.,Maintenance,Medium,2026-03-10
Not enough basketballs available.,Sports,Low,2026-04-04
Unable to access the student portal from 3rd floor. very annoying,IT,Low,2026-02-06
Librarian was unhelpful today. bad,Library,Low,2026-03-20
Campus security personnel are rude to students.,Security,High,2026-03-07
Window pane is broken in Lab 3. frustrating,Maintenance,Medium,2026-01-18
CCTV cameras are not functional in Library Section.,Security,High,2026-04-08
It is Timetable is poorly managed with no breaks. very annoying,Academic,High,2026-02-26
It is Water supply in mess area was disrupted. urgent,Mess,Low,2026-02-22
Window pane is broken in 3rd floor.,Maintenance,Medium,2026-04-14
I am facing an issue where Parking lot lights are out. bad,Security,High,2026-04-19
This is Computers in the 3rd floor lab are not working. very annoying,IT,High,2026-01-13
Computers in the Hostel A lab are not working.,IT,Low,2026-02-12
Gym equipment requires maintenance.,Sports,Medium,2026-01-25
No security guard present at the back gate.,Security,Medium,2026-03-18
Not enough basketballs available.,Sports,Medium,2026-03-20
It is LAN cable missing in the Main Block. very annoying,IT,High,2026-03-30
Exam schedule is clashing with placement drives. urgent,Academic,Medium,2026-01-19
This is Library closes too early during exam week. terrible,Library,Low,2026-04-09
I am facing an issue where CCTV cameras are not functional in Main Block. terrible,Security,High,2026-01-10
I am facing an issue where Printers not working in the Lab 3.,IT,High,2026-04-19
Assignments are graded unfairly.,Academic,Medium,2026-02-11
Professor missed the scheduled lecture without notice. frustrating,Academic,Medium,2026-01-27
Ambulance took too long to arrive at Hostel B.,Health,High,2026-01-11
I am facing an issue where Not enough elective courses offered this semester.,Academic,Medium,2026-03-25
No basic medicines available in the dispensary.,Health,High,2026-01-18
Library closes too early during exam week. very annoying,Library,Low,2026-02-17
I am facing an issue where Indoor stadium is kept locked on weekends.,Sports,Low,2026-02-17
Elevator in Building C is stuck frequently. urgent,Maintenance,High,2026-03-18
Parking lot lights are out.,Security,High,2026-03-14
I am facing an issue where Computers in the Hostel A lab are not working.,IT,Medium,2026-01-11
Parking lot lights are out.,Security,High,2026-02-16
I am facing an issue where Ambulance took too long to arrive at Library Section.,Health,High,2026-03-09
Computers in the Main Block lab are not working. frustrating,IT,Medium,2026-03-17
It is Not enough quiet study spaces. needs fixing,Library,Low,2026-02-07
LAN cable missing in the Main Block.,IT,High,2026-04-07
No security guard present at the back gate. frustrating,Security,High,2026-01-15
Need more books on Machine Learning in the library.,Library,Medium,2026-01-01
Water cooler on the 3rd floor is broken.,Maintenance,Medium,2026-03-04
I am facing an issue where Timetable is poorly managed with no breaks. urgent,Academic,Medium,2026-04-07
No vegetarian options available in the mess today.,Mess,High,2026-04-03
This is Not enough elective courses offered this semester. needs fixing,Academic,High,2026-04-18
It is Floodlights at the football ground are not working.,Sports,Low,2026-01-26
I am facing an issue where Food is served cold during dinner time.,Mess,Medium,2026-03-14
I am facing an issue where Ambulance took too long to arrive at Main Block.,Health,High,2026-03-18
I am facing an issue where Assignments are graded unfairly.,Academic,Medium,2026-02-22
Hostel AC is not cooling in Lab 3. Please fix ASAP.,Maintenance,High,2026-02-22
I am facing an issue where Not enough quiet study spaces.,Library,Medium,2026-02-22
It is CCTV cameras are not functional in 3rd floor. frustrating,Security,High,2026-03-26
Indoor stadium is kept locked on weekends.,Sports,Medium,2026-03-14
I am facing an issue where Online journal access is revoked.,Library,Medium,2026-03-27
Cricket pitch needs to be rolled and cleaned. needs fixing,Sports,Medium,2026-01-24
I am facing an issue where The internet in the Hostel A is too slow for studying.,IT,Low,2026-01-11
Library closes too early during exam week.,Library,Low,2026-03-10
I am facing an issue where Professor missed the scheduled lecture without notice. needs fixing,Academic,High,2026-02-26
Wi-Fi keeps disconnecting in Hostel B.,IT,Low,2026-03-05
Projector in Hostel A is not turning on.,IT,Low,2026-04-18
I am facing an issue where Doctor was not available at the clinic near Lab 3.,Health,High,2026-01-30
I am facing an issue where Elevator in Lab 3 is stuck frequently.,Maintenance,Medium,2026-03-02
Menu is repetitive and lacks nutrition. bad,Mess,Medium,2026-02-23
I am facing an issue where Assignments are graded unfairly. very annoying,Academic,Medium,2026-03-01
Not enough quiet study spaces.,Library,Medium,2026-03-12
Need more books on Machine Learning in the library.,Library,Medium,2026-01-25
Gym equipment requires maintenance.,Sports,Low,2026-03-25
Gym equipment requires maintenance.,Sports,Medium,2026-02-27
I am facing an issue where There is a water leak in the Hostel A.,Maintenance,High,2026-02-27
It is Fan is making weird noises in 3rd floor. needs fixing,Maintenance,Low,2026-01-06
The internet in the Building C is too slow for studying. very annoying,IT,Medium,2026-02-24
It is Library closes too early during exam week. bad,Library,Medium,2026-02-03
I am facing an issue where Printers not working in the Hostel A.,IT,Medium,2026-04-13
This is Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-02-12
Medical room is closed during night hours near 3rd floor. terrible,Health,High,2026-03-24
Gym equipment requires maintenance.,Sports,Medium,2026-01-09
No vegetarian options available in the mess today.,Mess,Low,2026-03-31
I am facing an issue where Course curriculum needs updating for industry standards.,Academic,Low,2026-01-30
Not enough basketballs available. very annoying,Sports,Low,2026-04-11
Wi-Fi keeps disconnecting in Hostel A.,IT,Medium,2026-04-09
Doctor was not available at the clinic near Lab 3.,Health,High,2026-03-29
I am facing an issue where Library closes too early during exam week.,Library,Medium,2026-04-16
I am facing an issue where Food is served cold during dinner time. needs fixing,Mess,Medium,2026-02-10
This is Course curriculum needs updating for industry standards.,Academic,High,2026-02-18
It is Course curriculum needs updating for industry standards.,Academic,Low,2026-02-18
Indoor stadium is kept locked on weekends.,Sports,Low,2026-03-02
I am facing an issue where Sports ground is too muddy to play.,Sports,Low,2026-02-06
I am facing an issue where Timetable is poorly managed with no breaks.,Academic,Low,2026-01-05
Professor missed the scheduled lecture without notice.,Academic,High,2026-03-18
Floodlights at the football ground are not working.,Sports,Medium,2026-03-01
Lights are constantly flickering in Lab 3.,Maintenance,High,2026-03-01
Software licenses expired on lab machines in Library Section.,IT,Low,2026-02-05
It is Need more books on Machine Learning in the library. terrible,Library,Medium,2026-03-08
Software licenses expired on lab machines in 3rd floor.,IT,High,2026-04-14
Software licenses expired on lab machines in Lab 3.,IT,Low,2026-01-07
Hygiene issues at the clinic close to Building C.,Health,High,2026-02-26
This is Chairs are uncomfortable in the reading room. frustrating,Library,Low,2026-01-15
Hostel AC is not cooling in Lab 3. Please fix ASAP. very annoying,Maintenance,Medium,2026-03-05
I am facing an issue where No vegetarian options available in the mess today.,Mess,Low,2026-03-12
Not enough quiet study spaces. urgent,Library,Medium,2026-04-15
It is Unable to access the student portal from Room 402.,IT,Medium,2026-02-22
I am facing an issue where CCTV cameras are not functional in Lab 3. bad,Security,High,2026-02-08
This is Software licenses expired on lab machines in Main Block.,IT,High,2026-02-04
This is Projector in Lab 3 is not turning on.,IT,Medium,2026-04-17
Lights are constantly flickering in Hostel B.,Maintenance,Low,2026-04-07
Outsiders entering the campus without checking. terrible,Security,High,2026-01-31
Lights are constantly flickering in Hostel B. bad,Maintenance,Medium,2026-04-16
Projector in Lab 3 is not turning on.,IT,Medium,2026-01-25
Course curriculum needs updating for industry standards.,Academic,High,2026-04-05
Online journal access is revoked. bad,Library,Low,2026-04-13
I am facing an issue where Fan is making weird noises in Hostel B. urgent,Maintenance,Medium,2026-04-18
Wi-Fi keeps disconnecting in Lab 3.,IT,High,2026-03-01
Doctor was not available at the clinic near Hostel A.,Health,High,2026-01-09
Menu is repetitive and lacks nutrition.,Mess,Medium,2026-01-05
This is Medical room is closed during night hours near Hostel B.,Health,High,2026-04-06
Lights are constantly flickering in Lab 3.,Maintenance,High,2026-03-27
Online journal access is revoked.,Library,Medium,2026-04-02
I am facing an issue where No vegetarian options available in the mess today. terrible,Mess,High,2026-02-21
Software licenses expired on lab machines in 3rd floor.,IT,High,2026-01-04
Indoor stadium is kept locked on weekends.,Sports,Medium,2026-02-20
I am facing an issue where Floodlights at the football ground are not working.,Sports,Medium,2026-03-15
Water supply in mess area was disrupted.,Mess,High,2026-01-28
Timetable is poorly managed with no breaks. urgent,Academic,Medium,2026-01-30
I am facing an issue where Assignments are graded unfairly.,Academic,Medium,2026-01-16
Water cooler on the 3rd floor is broken.,Maintenance,Medium,2026-04-14
Fan is making weird noises in Room 402. bad,Maintenance,High,2026-03-14
Bicycles are being stolen from the parking lot.,Security,High,2026-02-27
